                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9409,                 6.7017,                 5.2142,                 2.1854,                0.11999,                0.36265,                0.18122,                0.09754,                0.00145,                0.02479,                0.00098,                0.00049,                 1.6103,                 9.5587,                 4.1037,                 2.1145,              2.668e-05,              2.668e-05,              2.668e-05
                      2,                 1.6123,                 5.1201,                 3.2202,                 1.9531,                0.46018,                0.17462,                0.25004,                0.17889,                0.14991,                0.01933,                 0.0324,                 0.0196,                 1.4684,                 4.9215,                 6.2903,                 1.9534,             5.4087e-05,             5.4087e-05,             5.4087e-05
                      3,                 1.4014,                 3.9609,                 2.3569,                  1.753,                0.34109,                0.33236,                0.31755,                0.20722,                0.03116,                0.03458,                0.02816,                0.01166,                 1.4424,                 4.0153,                 7.3073,                 1.8919,             7.4891e-05,             7.4891e-05,             7.4891e-05
                      4,                 1.2638,                 3.5513,                 1.9175,                 1.6156,                 0.5229,                0.53188,                0.49482,                0.31399,                0.04472,                0.09688,                0.03962,                0.01174,                 1.3733,                 3.7736,                 3.6762,                 1.7579,             8.9091e-05,             8.9091e-05,             8.9091e-05
                      5,                 1.1765,                 3.3075,                 1.6671,                 1.5455,                0.59867,                0.70661,                0.74535,                0.48767,                0.14699,                0.09396,                0.10549,                0.03972,                 1.3241,                 3.6248,                 2.7765,                 1.6965,             9.6688e-05,             9.6688e-05,             9.6688e-05
                      6,                 1.1281,                 3.1418,                 1.5712,                 1.4734,                0.55065,                0.83958,                0.78837,                0.51745,                0.11065,                0.13504,                0.11769,                0.04033,                 1.2856,                 3.5631,                 2.5995,                 1.6116,             9.7682e-05,             9.7682e-05,             9.7682e-05
                      7,                 1.1459,                 3.0803,                  1.507,                 1.4855,                 0.6782,                0.64015,                0.75906,                0.50348,                0.12756,                0.15893,                0.13383,                0.04906,                 1.3069,                 3.3454,                  2.132,                 1.6035,             9.2073e-05,             9.2073e-05,             9.2073e-05
                      8,                 1.1033,                 2.9251,                 1.4292,                 1.4404,                0.62005,                0.69386,                0.76024,                0.50251,                0.12926,                0.18932,                0.13585,                0.05149,                   1.31,                 3.2822,                 1.9374,                  1.608,              7.986e-05,              7.986e-05,              7.986e-05
                      9,                 1.0565,                 2.7882,                 1.3633,                 1.3915,                 0.6403,                0.72446,                0.78164,                0.53566,                0.13797,                0.17419,                0.15259,                0.05326,                 1.3036,                 3.4215,                 1.6851,                  1.603,             6.1044e-05,             6.1044e-05,             6.1044e-05
                     10,                 1.0175,                 2.7309,                 1.3071,                 1.3624,                0.78396,                0.65263,                0.81492,                0.57039,                0.18031,                0.15375,                0.17017,                0.05571,                 1.2669,                 3.3723,                  1.618,                 1.5853,             3.5624e-05,             3.5624e-05,             3.5624e-05
